player_id,player_name,age,nationality,team,jersey_number,position,height_cm,weight_kg,club_name,market_value_eur,match_id,match_date,stadium,city,opponent_team,tournament_stage,match_result,goals_team,goals_opponent,minutes_played,goals,assists,shots,shots_on_target,expected_goals_xg,expected_assists_xa,key_passes,successful_passes,total_passes,pass_accuracy,dribbles_attempted,successful_dribbles,crosses,successful_crosses,tackles,interceptions,clearances,blocks,aerial_duels_won,aerial_duels_lost,recoveries,defensive_actions,fouls_committed,fouls_suffered,yellow_cards,red_cards,offsides,saves,save_percentage,punches,clean_sheet,goals_conceded,penalty_saves,distance_covered_km,sprint_distance_km,top_speed_kmh,accelerations,decelerations,stamina_score,player_rating,performance_score,offensive_contribution,defensive_contribution,possession_impact,pressure_resistance,creativity_score,consistency_score,clutch_performance_score,total_goals_tournament,total_assists_tournament,total_minutes_tournament,player_of_match_awards,tournament_rating,goal_contribution_rate,work_rate_intensity,passing_efficiency,position_encoded,preferred_foot_Right
P00055,Rodri Fati,26.0,Spanish,Spain,3.0,Goalkeeper,195.0,75.0,RB Salzburg,4384884.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.83,0.0,1.0,0.0,0.0,7.8,0.7,26.5,13.0,23.0,81.9,5.6,50.9,3.3,48.2,1.1,44.2,55.9,42.0,51.8,0.0,0.0,242.0,0.0,5.8,0.0,8.85,0.0059,2,False
P00070,Ansu Le Normand,19.0,Spanish,Spain,18.0,Midfielder,178.0,75.0,Chelsea,4918927.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,35.0,40.0,0.89,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,1.1,29.0,19.0,17.0,85.5,5.7,55.9,37.9,29.4,3.5,38.2,43.7,31.1,52.7,0.0,3.0,342.0,0.0,5.5,0.0,12.05,0.0178,3,True
P00066,Gavi Ramos,18.0,Spanish,Spain,14.0,Midfielder,177.0,72.0,AIK,125015698.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,73.0,1.0,0.0,2.0,0.0,0.08,0.07,2.0,72.0,85.0,0.85,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,1.3,33.7,30.0,19.0,88.8,8.3,82.9,79.8,78.6,15.3,99.0,99.0,83.4,54.8,1.0,1.0,245.0,0.0,8.4,1.2328615126662823,10.75,0.025500000000000002,3,False
P00073,Pedro Cubarsi,20.0,Spanish,Spain,21.0,Forward,182.0,74.0,PSV Eindhoven,11805512.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,80.0,1.0,1.0,5.0,2.0,0.0,0.21,0.0,12.0,19.0,0.67,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1.0,32.1,26.0,19.0,89.2,6.9,67.5,47.3,6.9,1.2,19.8,42.3,40.9,78.5,5.0,3.0,422.0,0.0,6.7,2.249974687784763,11.1,0.0067,1,True
P00059,Alvaro Oyarzabal,23.0,Spanish,Spain,7.0,Defender,191.0,81.0,Juventus,13325174.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,79.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.0,44.0,0.76,2.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.7,30.5,23.0,18.0,73.6,5.7,55.4,33.0,75.6,6.2,44.1,33.5,60.0,56.6,0.0,0.0,440.0,0.0,5.7,0.0,8.55,0.0152,0,False
P00072,Dani Gavi,21.0,Spanish,Spain,20.0,Midfielder,181.0,78.0,Dinamo Zagreb,34588916.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.01,0.46,1.0,94.0,100.0,0.94,4.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,8.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,1.1,28.5,25.0,27.0,96.7,6.6,72.1,99.0,85.0,17.0,65.4,85.8,91.1,48.2,1.0,2.0,332.0,0.0,6.7,0.0,11.35,0.018799999999999997,3,True
P00058,Rodri Laporte,27.0,Spanish,Spain,6.0,Defender,188.0,80.0,Legia Warsaw,12330574.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,44.0,59.0,0.75,1.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.7,32.4,28.0,17.0,83.7,6.7,65.3,43.2,85.6,6.4,48.7,15.3,61.8,55.1,0.0,1.0,264.0,0.0,7.0,0.0,8.95,0.0075,0,True
P00078,Ansu Fati,27.0,Spanish,Spain,26.0,Forward,182.0,72.0,Red Star Belgrade,2617484.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,77.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,20.0,0.86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.9,30.6,17.0,28.0,94.2,6.8,70.9,50.4,24.2,2.4,48.2,35.6,60.9,60.4,2.0,1.0,191.0,0.0,6.8,1.1688175073278366,9.549999999999999,0.0172,1,True
P00056,Pedro Torres,24.0,Spanish,Spain,4.0,Defender,176.0,78.0,Legia Warsaw,15191371.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,47.0,0.77,0.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,2.0,0.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,1.2,32.8,18.0,10.0,96.4,6.4,63.2,29.3,70.5,6.4,52.7,31.3,68.3,59.2,0.0,0.0,324.0,0.0,6.7,0.0,10.399999999999999,0.0154,0,False
P00074,Gavi Le Normand,25.0,Spanish,Spain,22.0,Forward,172.0,70.0,Galatasaray,27469713.0,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1.0,0.0,82.0,0.0,0.0,3.0,1.0,1.19,0.11,2.0,39.0,51.0,0.77,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,1.0,29.5,31.0,24.0,86.7,6.3,61.3,79.9,12.8,11.1,99.0,68.8,92.1,47.6,1.0,3.0,547.0,0.0,5.7,0.0,8.4,0.023100000000000002,1,True
